id,image_id,api_link,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
87531,38972058-6e4d-50a0-ae60-863f276262d0,https://api.artic.edu/api/v1/artworks/87531,A Lady,Johann Friedrich August Tischbein,1765.0,1775.0,c. 1770,Germany,Oil on canvas,Painting,['Painting and Sculpture of Europe']
86323,b30b708a-be47-c3cc-f3af-2a6798b7b088,https://api.artic.edu/api/v1/artworks/86323,The Entombment,Guercino,1656.0,1656.0,1656,Italy,Oil on canvas,Painting,['Painting and Sculpture of Europe']
109418,5ec2faea-0636-15d9-9c95-2fd89f85196c,https://api.artic.edu/api/v1/artworks/109418,Bathers,Paul Cezanne,1890.0,1894.0,1890/94,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
111648,7b0ea6ca-9424-050e-7e0e-3b67d2289480,https://api.artic.edu/api/v1/artworks/111648,Peasants Bringing Home a Calf Born in the Fields,Jean François Millet,1864.0,1864.0,1864,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
160032,d5133cb6-4ea6-d2f6-3391-e1b47f3f1022,https://api.artic.edu/api/v1/artworks/160032,The Festival,Sir John Edward Poynter,1875.0,1875.0,1875,England,Oil on canvas,Painting,['Painting and Sculpture of Europe']
160031,5b4ab4f3-0d51-584d-afd3-833e42392c81,https://api.artic.edu/api/v1/artworks/160031,The Golden Age,Sir John Edward Poynter,1875.0,1875.0,1875,England,Oil on canvas,Painting,['Painting and Sculpture of Europe']
68407,3b82d9b3-fc9a-1ee3-0f8c-ed351450338d,https://api.artic.edu/api/v1/artworks/68407,Landscape (Bordeaux II),Amédée Ozenfant,1918.0,1918.0,1918,France,Oil on canvas,Painting,['Modern Art']
63979,6b245b09-5285-adb1-0273-e60838bea600,https://api.artic.edu/api/v1/artworks/63979,The Red Table,Fernand Léger,1920.0,1920.0,1920,France,Oil on canvas,Painting,['Modern Art']
82413,e1bd416f-ec68-4dea-7ddd-70bb8c8b6156,https://api.artic.edu/api/v1/artworks/82413,The Three Judges,Georges Rouault,1928.0,1928.0,1928,France,"Oil and gouache on paper, mounted on cardboard and backed with canvas",Painting,['Modern Art']
75602,6ef634bb-0cd2-c0b7-d5ff-c9f11ee4d28b,https://api.artic.edu/api/v1/artworks/75602,L'Italienne,Georges Rouault,1937.0,1937.0,1937,France,Oil on canvas,Painting,['Modern Art']
68433,3826e366-e82a-e853-12e4-b303a1618103,https://api.artic.edu/api/v1/artworks/68433,"Sawmill, Outskirts of Paris",Henri Rousseau,1888.0,1895.0,c. 1893/95,France,Oil on canvas,Painting,['Modern Art']
90439,acca2f6b-ee63-00c6-5f87-e162920d7b20,https://api.artic.edu/api/v1/artworks/90439,Composition,Léopold Survage,1915.0,1915.0,1915,France,Oil on canvas,Painting,['Modern Art']
122232,72d28816-c42f-af88-63fc-d12426db240e,https://api.artic.edu/api/v1/artworks/122232,Laurette with a Cup of Coffee,Henri Matisse,1916.0,1916.0,1916–17,France,Oil on canvas,Painting,['Modern Art']
153703,79f1c666-1e19-af39-f7e0-f22989835eb2,https://api.artic.edu/api/v1/artworks/153703,Lemons on a Pewter Plate,Henri Matisse,1926.0,1926.0,1926,France,Oil on canvas,Painting,['Modern Art']
251099,730e3bfb-da47-25f7-02e6-e9d410d13cfe,https://api.artic.edu/api/v1/artworks/251099,Rock,Zeng Shanqing,1989.0,1989.0,1989,China,Ink on paper,Painting,['Arts of Asia']
8034,68ffbc67-05a4-397c-cca3-9da6ab40e017,https://api.artic.edu/api/v1/artworks/8034,Saints Augustine and Peter,Workshop of Paolo Veneziano,1345.0,1355.0,About 1350,Venice,Tempera on panel,Painting,['Painting and Sculpture of Europe']
16234,308a1405-b198-37e2-c5d2-ca364705c92e,https://api.artic.edu/api/v1/artworks/16234,The Crucifixion,Taddeo di Bartolo,1401.0,1404.0,1401/04,Italy,Tempera on panel,Painting,['Painting and Sculpture of Europe']
16228,fc3d24a2-5b46-0050-1ba6-5e7831caca4b,https://api.artic.edu/api/v1/artworks/16228,Saint Francis before the Pope (The Approval of the Franciscan Rule),Spinello Aretino,1390.0,1400.0,1390/1400,Italy,Tempera on panel,Painting,['Painting and Sculpture of Europe']
16177,2831d07d-1b69-50ed-2865-6a5b7d9bfc6a,https://api.artic.edu/api/v1/artworks/16177,The Death of the Virgin,Gherardo Starnina,1401.0,1410.0,1405/10,Italy,Tempera on panel,Painting,['Painting and Sculpture of Europe']
