id,image_id,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
16464,8815edcf-6c26-6ebb-32c7-f2a440ce7028,"Place des Batignolles, Paris",Albert André,1893,1893,1893,France,Oil on panel,Painting,['Painting and Sculpture of Europe']
81551,0ff20364-c795-c2ca-c1e8-e5a848f09554,"The Place du Havre, Paris",Camille Pissarro,1893,1893,1893,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
111442,5de963b1-55e2-b349-6cd5-85f9bd2687ec,The Child's Bath,Mary Cassatt,1893,1893,1893,France,Oil on canvas,Painting,"['Art Institute Icons', 'Essentials', 'Women artists', 'Arts of the Americas']"
60812,48268fc7-2eb4-ded6-1293-e91f27b66478,Merahi metua no Tehamana (Tehamana Has Many Parents or The Ancestors of Tehamana),Paul Gauguin,1893,1893,1893,France,Oil on jute canvas,Painting,"['Painting and Sculpture of Europe', 'Essentials']"
154235,d7df2633-3b40-f570-c906-211503a37cde,The Girl by the Window,Edvard Munch,1893,1893,1893,Norway,Oil on canvas,Painting,['Painting and Sculpture of Europe']
81576,78adbac9-61fa-f039-4ee4-58ad5e6c36db,Mrs. Potter Palmer,Anders Zorn,1893,1893,1893,Sweden,Oil on canvas,Painting,['Painting and Sculpture of Europe']
97908,211e903f-a1a3-76d5-90b0-13a1717ee210,Slave Market,Frederic Remington,1893,1893,1893,United States,Oil on canvas,Painting,['Arts of the Americas']
84088,9e72fb46-920e-86a7-bc49-9a525eac4e1c,Violet and Silver - The Deep Sea,James McNeill Whistler,1893,1893,1893,United States,Oil on canvas,Painting,['Arts of the Americas']
65170,1cdde17f-3a93-7d76-4c3a-0dee432f86f8,Afterglow,George Inness,1893,1893,1893,United States,Oil on canvas,Painting,['Arts of the Americas']
8971,de060306-b5a3-5139-cad9-57e9c274d7c3,Coast of Maine,Winslow Homer,1893,1893,1893,United States,Oil on canvas,Painting,['Arts of the Americas']
64748,36239beb-7eeb-e82d-86ba-3ab40b245002,Sunlit Valley,George Inness,1893,1893,1893,United States,Oil on canvas,Painting,['Arts of the Americas']
46477,f6452e40-897e-ba25-b021-8f542f3cc234,Crested Myna Birds and Chrysanthemums,Xugu,1892,1892,"Qing dynasty (1644–1911), c. 1892",China,Hanging scroll; ink and colors on paper,Painting,['Arts of Asia']
8360,604fe021-6008-f666-bce8-456b2fdc9bd4,Te burao (The Hibiscus Tree),Paul Gauguin,1892,1892,1892,France,Oil on cotton canvas,Painting,['Painting and Sculpture of Europe']
61128,defb4004-b500-218d-3d9b-9a02423f097d,At the Moulin Rouge,Henri de Toulouse-Lautrec,1892,1895,1892/95,France,Oil on canvas,Painting,"['Painting and Sculpture of Europe', 'Essentials']"
87000,b84a9755-ca8d-8bd5-5a59-e910b20e3ba5,Haymaking at Éragny,Camille Pissarro,1892,1892,1892,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
64729,ef96e79b-f481-8114-0804-4bd39c101983,"Early Morning, Tarpon Springs",George Inness,1892,1892,1892,United States,Oil on canvas,Painting,['Arts of the Americas']
663,91fcc71a-50eb-f418-85f5-d11fc81e8d83,Alice,William Merritt Chase,1892,1892,1892,United States,Oil on canvas,Painting,['Arts of the Americas']
69844,f4269701-8862-2c0e-efb3-e5cd97fc7c09,"The Lonely Farm, Nantucket",George Inness,1892,1892,1892,United States,Oil on canvas,Painting,['Arts of the Americas']
12888,f652ab04-9d66-c3c3-6b5e-c2891fc3a891,Portrait of the Artist's Sister,Georges Lemmen,1891,1891,1891,Belgium,Oil on canvas,Painting,['Painting and Sculpture of Europe']
121629,e6dd6199-c245-d1b4-a997-ce89eafb48ca,Life Study (Study of an Egyptian Girl),John Singer Sargent,1891,1891,1891,Egypt,Oil on canvas,Painting,['Arts of the Americas']
100191,8bd40b36-43ea-8b02-d76a-b325962b86db,"Stack of Wheat (Thaw, Sunset)",Claude Monet,1891,1891,1890/91,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
133862,e0d8104e-eaf0-0bbc-748d-ecc8d190c4cf,Easter Mystery (Mystère de Pâques),Maurice Denis,1891,1891,1891,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
64818,a38e2828-ec6f-ece1-a30f-70243449197b,Stacks of Wheat (End of Summer),Claude Monet,1891,1891,1890/91,France,Oil on canvas,Painting,"['Painting and Sculpture of Europe', 'Essentials']"
81545,be0d3e50-a600-6f33-ea8f-16a34d892442,"Stacks of Wheat (Sunset, Snow Effect)",Claude Monet,1891,1891,1890/91,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
